ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01014726,48.6,37.2,77.4,5 - most deprived,77.4,5 - most deprived,60.7,5 - most deprived,76.9,5 - most deprived,74.4,5 - most deprived
England,E01014727,41.9,31.6,71.1,5 - most deprived,71.1,5 - most deprived,54.7,5 - most deprived,69.6,5 - most deprived,67.9,5 - most deprived
England,E01014729,27.1,19.8,44.8,5 - most deprived,44.8,5 - most deprived,32.1,5 - most deprived,43.4,5 - most deprived,41.3,5 - most deprived
England,E01014730,16.2,14.1,28.6,4,28.6,4,18.8,4,27.7,4,24.7,4
England,E01014731,17,13.7,28,4,28,4,18.1,4,27.1,4,24.2,4
England,E01014732,11.5,11.3,21,3,21,3,12.4,3,20.3,3,16.9,3
England,E01014733,9.5,7.8,14.3,3,14.3,2,6.4,2,13.6,2,10.3,2
England,E01014734,10.7,9,14.4,3,14.4,2,6.8,2,14.1,3,10.5,2
England,E01014735,6.9,7.7,13.1,2,13.1,2,5.6,2,12.4,2,8.9,2
England,E01014736,19,13.9,30.8,4,30.8,4,20.2,4,29.6,4,27.1,4
England,E01014737,1.4,2.6,1.2,1 - least deprived,1.2,1 - least deprived,-4.6,1 - least deprived,0.7,1 - least deprived,-3,1 - least deprived
England,E01014738,8.9,7.2,6.8,1 - least deprived,6.8,1 - least deprived,0.5,1 - least deprived,7.1,1 - least deprived,2.9,1 - least deprived
England,E01014739,4.4,5,7.6,1 - least deprived,7.6,1 - least deprived,0.8,1 - least deprived,6.9,1 - least deprived,3.4,1 - least deprived
England,E01014740,4.9,4.5,10.5,2,10.5,2,2.8,2,9.2,2,6.3,2
England,E01014741,9.1,8.4,9.8,2,9.8,2,3.1,2,10,2,5.8,2
England,E01014742,4.2,5,2.9,1 - least deprived,2.9,1 - least deprived,-2.8,1 - least deprived,3,1 - least deprived,-1.2,1 - least deprived
England,E01014744,6.4,8.6,13.9,2,13.9,2,6.5,2,13.3,2,9.7,2
England,E01014745,8.6,7.3,10,2,10,2,3.1,2,9.8,2,6.1,2
England,E01014746,18.9,16.5,21.3,3,21.3,3,13.6,4,22.5,4,17.6,3
England,E01014747,4.8,5.7,8.1,1 - least deprived,8.1,1 - least deprived,1.4,1 - least deprived,7.6,1 - least deprived,4,1 - least deprived
England,E01014748,5.3,4.1,7,1 - least deprived,7,1 - least deprived,0.1,1 - least deprived,6.2,1 - least deprived,3,1 - least deprived
England,E01014749,5,4.3,4.8,1 - least deprived,4.8,1 - least deprived,-1.6,1 - least deprived,4.4,1 - least deprived,0.8,1 - least deprived
England,E01014750,11.6,12.8,16.5,3,16.5,3,9.3,3,17,3,12.5,3
England,E01014751,15,12.9,20.8,3,20.8,3,12.5,3,20.8,3,17,3
England,E01014752,6,6.4,6.2,1 - least deprived,6.2,1 - least deprived,0,1 - least deprived,6.2,1 - least deprived,2.1,1 - least deprived
England,E01014753,15.5,13.2,20,3,20,3,11.9,3,20.3,3,16.2,3
England,E01014754,7.1,7.8,8.1,1 - least deprived,8.1,1 - least deprived,1.8,1 - least deprived,8.3,1 - least deprived,4,1 - least deprived
England,E01014755,9.2,7.7,9.6,2,9.6,2,2.8,2,9.6,2,5.7,2
England,E01014756,7.4,9.6,13.6,2,13.6,2,6.5,2,13.4,2,9.5,2
England,E01014757,5.4,5.3,7.4,1 - least deprived,7.4,1 - least deprived,0.7,1 - least deprived,6.9,1 - least deprived,3.3,1 - least deprived
England,E01014758,4.9,6.9,8,1 - least deprived,8,1 - least deprived,1.6,1 - least deprived,7.8,1 - least deprived,3.8,1 - least deprived
England,E01014759,2.6,2.8,2.2,1 - least deprived,2.2,1 - least deprived,-3.8,1 - least deprived,1.7,1 - least deprived,-1.9,1 - least deprived
England,E01014760,10.3,9.5,10.3,2,10.3,2,3.8,2,10.8,2,6.4,2
England,E01014761,4.6,4.8,5.1,1 - least deprived,5.1,1 - least deprived,-1.2,1 - least deprived,4.7,1 - least deprived,1,1 - least deprived
England,E01014762,6.3,5.8,6.1,1 - least deprived,6.1,1 - least deprived,-0.2,1 - least deprived,6,1 - least deprived,2.1,1 - least deprived
England,E01014763,10.1,8.4,13.2,2,13.2,2,5.7,2,12.9,2,9.3,2
England,E01014764,13,11.4,14.8,3,14.8,3,7.6,3,15.3,3,11,3
